date,open,high,low,close,volume
2025-01-21,242.14999389648438,245.14999389648438,240.9499969482422,244.64999389648438,3231094
2025-01-22,248.64999389648438,251.35000610351562,248.35000610351562,250.89999389648438,7483698
2025-02-03,229.60000610351562,232.64999389648438,227.75,229.5,15738600
2025-02-04,234.0,234.10000610351562,230.0500030517578,230.64999389648438,4236799
2025-02-05,237.25,241.35000610351562,237.25,239.64999389648438,5441514
2025-02-06,242.89999389648438,243.5500030517578,240.5500030517578,240.89999389648438,3082303
2025-02-07,242.0,244.9499969482422,241.75,244.89999389648438,4202463
2025-02-10,242.39999389648438,242.39999389648438,239.1999969482422,240.8000030517578,3516232
2025-02-11,244.5,245.89999389648438,242.0500030517578,242.75,2888693
2025-02-12,245.1999969482422,246.5500030517578,242.0500030517578,242.1999969482422,3186950
2025-02-13,241.8000030517578,244.14999389648438,241.0,243.9499969482422,2791100
2025-02-14,241.5500030517578,241.5500030517578,238.1999969482422,239.0,3789156
2025-02-17,241.9499969482422,246.39999389648438,241.9499969482422,246.35000610351562,6471283
2025-02-18,246.4499969482422,248.5500030517578,245.25,248.5500030517578,2488701
2025-02-19,247.9499969482422,249.39999389648438,247.0,247.5,2352117
2025-02-20,246.39999389648438,246.6999969482422,243.0,245.89999389648438,2568254
2025-02-21,245.60000610351562,250.5,245.14999389648438,250.4499969482422,4438649
2025-02-24,245.14999389648438,246.9499969482422,244.5,246.9499969482422,3050844
2025-02-25,242.0,242.10000610351562,238.1999969482422,241.0,5879199
2025-02-26,239.0,243.1999969482422,237.39999389648438,243.14999389648438,4021214
2025-02-27,243.5,244.0500030517578,237.89999389648438,238.4499969482422,5363108
2025-03-03,230.0,231.0,227.35000610351562,229.4499969482422,14930401
2025-03-04,221.60000610351562,228.0,220.89999389648438,226.9499969482422,8219757
2025-03-05,231.10000610351562,233.10000610351562,229.10000610351562,232.60000610351562,5141588
2025-03-06,233.0500030517578,233.10000610351562,228.89999389648438,229.64999389648438,4104330
2025-03-07,226.35000610351562,228.4499969482422,224.5,225.39999389648438,5084517
2025-03-10,225.4499969482422,225.5500030517578,221.10000610351562,223.75,4772760
2025-03-11,213.60000610351562,216.1999969482422,208.10000610351562,215.5,12833975
2025-03-12,216.6999969482422,221.1999969482422,215.89999389648438,217.85000610351562,4342095
2025-03-13,223.39999389648438,223.8000030517578,213.9499969482422,213.9499969482422,6013775
2025-03-14,214.85000610351562,215.35000610351562,212.1999969482422,213.8000030517578,3729824
2025-03-17,218.5,220.39999389648438,216.75,217.3000030517578,3958095
2025-03-18,220.25,221.5,218.10000610351562,219.0500030517578,2730182
2025-03-19,218.5500030517578,219.25,214.1999969482422,214.89999389648438,3517368
2025-03-20,219.0,222.4499969482422,218.6999969482422,222.1999969482422,4667006
2025-03-21,221.14999389648438,221.14999389648438,217.89999389648438,218.1999969482422,2386000
2025-03-24,221.4499969482422,221.6999969482422,216.8000030517578,216.85000610351562,2553557
2025-03-25,221.5,222.85000610351562,218.4499969482422,220.25,3687682
2025-03-26,221.4499969482422,222.5,219.3000030517578,220.6999969482422,2241580
2025-03-27,214.0500030517578,214.64999389648438,212.5,213.3000030517578,6176151
2025-03-28,210.0,210.1999969482422,204.5500030517578,206.10000610351562,9044318
2025-03-31,194.25,196.25,190.1999969482422,191.0,14554673
2025-04-01,193.75,199.9499969482422,193.25,199.0500030517578,7308959
2025-04-02,199.5,201.5,198.39999389648438,200.3000030517578,4347810
2025-04-07,160.25,160.25,160.25,160.25,2717627
2025-04-08,149.14999389648438,154.0,138.6999969482422,142.3000030517578,57431808
2025-04-09,140.5,143.64999389648438,125.1500015258789,126.44999694824219,46241816
2025-04-10,151.6999969482422,151.6999969482422,151.6999969482422,151.6999969482422,3801072
2025-04-11,144.0,160.10000610351562,143.60000610351562,160.10000610351562,34695447
2025-04-14,165.5500030517578,167.8000030517578,158.9499969482422,159.75,24589779
2025-04-15,161.35000610351562,165.1999969482422,160.0500030517578,165.0,10754289
2025-04-16,161.75,161.89999389648438,157.85000610351562,158.10000610351562,11316964
2025-04-17,156.6999969482422,158.60000610351562,153.89999389648438,157.3000030517578,12334811
2025-04-18,158.0,158.89999389648438,156.75,157.89999389648438,6504621
2025-04-21,156.1999969482422,156.75,152.64999389648438,152.64999389648438,9249799
2025-04-22,149.75,152.5,148.39999389648438,148.6999969482422,10769237
2025-04-23,156.75,161.3000030517578,156.60000610351562,161.10000610351562,12949888
2025-04-24,162.1999969482422,162.5,158.3000030517578,158.60000610351562,9029612
2025-04-25,167.6999969482422,168.0,165.3000030517578,165.60000610351562,11474061
2025-04-28,167.8000030517578,168.75,167.0,167.85000610351562,7595324
2025-04-29,167.89999389648438,171.35000610351562,167.35000610351562,170.9499969482422,6480515
2025-04-30,170.10000610351562,172.4499969482422,169.5500030517578,170.3000030517578,8167458
2025-05-02,176.5500030517578,179.89999389648438,176.1999969482422,179.85000610351562,8698755
2025-05-05,181.3000030517578,181.39999389648438,171.3000030517578,175.14999389648438,18990253
2025-05-06,172.5500030517578,176.14999389648438,171.35000610351562,174.75,15754066
2025-05-07,176.1999969482422,176.89999389648438,172.4499969482422,174.25,9327948
2025-05-08,176.89999389648438,179.64999389648438,176.35000610351562,178.35000610351562,10020791
2025-05-09,179.5,182.5,178.14999389648438,182.4499969482422,8658225
2025-05-12,185.35000610351562,187.39999389648438,184.89999389648438,186.39999389648438,7630708
2025-05-13,193.60000610351562,193.8000030517578,190.10000610351562,190.75,11037057
2025-05-14,196.3000030517578,198.9499969482422,195.3000030517578,198.6999969482422,8280039
2025-05-15,198.25,199.35000610351562,196.8000030517578,197.5500030517578,5769286
2025-05-16,197.3000030517578,200.60000610351562,197.0500030517578,200.14999389648438,6502284
2025-05-19,197.5,198.3000030517578,193.6999969482422,194.10000610351562,5836196
2025-05-20,197.5,197.75,194.10000610351562,194.60000610351562,4104050
2025-05-21,196.10000610351562,200.0,196.0500030517578,199.5,5330770
2025-05-22,196.0,196.35000610351562,193.8000030517578,195.39999389648438,7188670
2025-05-23,197.39999389648438,197.39999389648438,193.14999389648438,194.75,5264340
2025-05-26,194.14999389648438,195.25,193.25,193.60000610351562,8020242
2025-05-27,193.5500030517578,193.5500030517578,188.89999389648438,190.10000610351562,7466193
2025-05-28,194.8000030517578,195.8000030517578,189.25,190.85000610351562,7000756
2025-05-29,195.6999969482422,195.89999389648438,191.5500030517578,191.9499969482422,6213246
2025-06-02,186.60000610351562,187.4499969482422,182.85000610351562,183.6999969482422,10164489
2025-06-03,187.64999389648438,190.14999389648438,185.6999969482422,186.14999389648438,9296445
2025-06-04,191.5,195.8000030517578,191.0500030517578,195.6999969482422,10655324
2025-06-05,196.85000610351562,198.25,195.5,196.0,4390936
2025-06-06,195.85000610351562,197.5,195.5500030517578,196.6999969482422,2560515
2025-06-09,199.9499969482422,200.0,197.5,199.10000610351562,3477938
2025-06-10,201.8000030517578,208.6999969482422,201.8000030517578,206.8000030517578,8690584
2025-06-11,209.6999969482422,210.8000030517578,207.8000030517578,210.60000610351562,6210588
2025-06-12,209.1999969482422,210.39999389648438,208.3000030517578,209.0,8288960
2025-06-13,203.8000030517578,207.0500030517578,202.5,204.14999389648438,14352264
2025-06-16,203.14999389648438,205.3000030517578,202.0,205.25,5007688
2025-06-17,208.3000030517578,208.9499969482422,205.25,206.5,5074981
2025-06-18,205.64999389648438,210.0,205.5,209.5,6012519
2025-06-19,207.6999969482422,207.75,204.5500030517578,205.10000610351562,5515148
2025-06-20,204.8000030517578,205.89999389648438,200.85000610351562,203.89999389648438,7142699
2025-06-23,197.4499969482422,200.89999389648438,196.0,200.5,6791309
2025-06-24,207.14999389648438,209.6999969482422,207.0,209.3000030517578,9084285
2025-06-25,212.5500030517578,213.75,211.14999389648438,213.75,8839321
2025-06-26,214.0500030517578,215.6999969482422,212.35000610351562,212.6999969482422,9428074
2025-06-27,214.0,214.1999969482422,210.60000610351562,212.1999969482422,6533686
2025-06-30,213.5,214.14999389648438,212.4499969482422,213.5,4775732
2025-07-01,216.35000610351562,221.8000030517578,216.1999969482422,217.5500030517578,8439299
2025-07-02,215.25,218.35000610351562,214.60000610351562,217.89999389648438,3260021
2025-07-03,222.0500030517578,224.25,221.6999969482422,223.9499969482422,6285003
2025-07-04,224.5,224.8000030517578,218.89999389648438,219.1999969482422,6700086
2025-07-07,217.9499969482422,218.5,215.0500030517578,216.35000610351562,4951767
2025-07-08,215.5500030517578,216.35000610351562,213.14999389648438,214.85000610351562,4470156
2025-07-09,213.6999969482422,219.5500030517578,213.64999389648438,218.89999389648438,3421120
2025-07-10,218.60000610351562,222.75,218.1999969482422,221.64999389648438,4504798
2025-07-11,221.60000610351562,224.8000030517578,221.0,224.8000030517578,5028312
2025-07-14,223.25,223.35000610351562,220.4499969482422,220.75,4154658
2025-07-15,221.10000610351562,227.5500030517578,221.0500030517578,226.6999969482422,7241456
2025-07-16,227.89999389648438,232.85000610351562,227.85000610351562,230.64999389648438,8459205
2025-07-17,232.89999389648438,234.25,230.5,234.25,8452389
2025-07-18,240.0,240.35000610351562,237.60000610351562,238.85000610351562,7826874
2025-07-21,238.1999969482422,239.1999969482422,236.64999389648438,237.39999389648438,4146152
2025-07-22,238.35000610351562,241.1999969482422,232.85000610351562,232.9499969482422,8898549
2025-07-23,235.5,238.10000610351562,234.75,236.85000610351562,8357603
2025-07-24,239.14999389648438,239.85000610351562,237.89999389648438,239.64999389648438,4376318
2025-07-25,238.6999969482422,239.85000610351562,237.4499969482422,238.1999969482422,5878489
2025-07-28,240.85000610351562,242.25,238.5,240.60000610351562,8031793
2025-07-29,239.5,240.35000610351562,233.6999969482422,235.60000610351562,13074122
2025-07-30,239.6999969482422,241.35000610351562,237.10000610351562,240.10000610351562,5882555
2025-07-31,240.39999389648438,245.6999969482422,240.25,245.1999969482422,5562714
2025-08-01,236.4499969482422,241.85000610351562,236.14999389648438,240.89999389648438,7394602
2025-08-04,235.5,239.0,233.75,238.85000610351562,9436440
2025-08-05,243.3000030517578,244.75,241.60000610351562,244.64999389648438,5527433
2025-08-06,241.5500030517578,242.60000610351562,240.89999389648438,241.10000610351562,3879087
2025-08-07,249.64999389648438,254.3000030517578,249.35000610351562,253.1999969482422,9920685
2025-08-08,253.1999969482422,253.85000610351562,252.3000030517578,252.6999969482422,5059393
2025-08-11,250.85000610351562,258.0,249.85000610351562,256.75,4600054
2025-08-12,256.3999938964844,258.25,255.3000030517578,257.29998779296875,2517416
2025-08-13,259.8500061035156,261.8500061035156,256.75,260.25,4940502
2025-08-14,259.45001220703125,260.8500061035156,257.6499938964844,259.29998779296875,3319593
2025-08-15,259.1499938964844,261.29998779296875,257.25,259.95001220703125,3668851
2025-08-18,257.70001220703125,263.0,257.70001220703125,262.8500061035156,3651409
2025-08-19,262.70001220703125,262.79998779296875,260.04998779296875,260.29998779296875,3128035
2025-08-20,254.64999389648438,255.60000610351562,245.8000030517578,246.64999389648438,10226778
2025-08-21,248.85000610351562,252.35000610351562,248.4499969482422,251.10000610351562,4764841
2025-08-22,252.35000610351562,252.60000610351562,248.10000610351562,248.89999389648438,2632782
2025-08-25,257.1000061035156,260.20001220703125,255.35000610351562,259.1000061035156,5655647
2025-08-26,256.6499938964844,259.6000061035156,255.64999389648438,258.95001220703125,2134961
2025-08-27,261.8500061035156,264.1000061035156,261.04998779296875,263.8999938964844,3765498
2025-08-28,261.04998779296875,262.5,258.0,259.3999938964844,3399314
2025-08-29,262.95001220703125,263.45001220703125,259.04998779296875,259.3500061035156,2613043
2025-09-01,256.5,258.6000061035156,250.5,252.8000030517578,6128330
2025-09-02,257.6000061035156,258.75,251.0,252.8000030517578,3399446
2025-09-03,251.89999389648438,255.3000030517578,251.6999969482422,253.35000610351562,2115789
2025-09-04,258.8500061035156,261.0,256.1499938964844,256.45001220703125,4695187
2025-09-05,261.0,262.3500061035156,259.5,262.04998779296875,4344641
2025-09-08,266.8999938964844,267.8999938964844,264.5,265.6499938964844,4316019
2025-09-09,268.25,271.45001220703125,267.6000061035156,270.5,4210624
2025-09-10,274.5,280.1000061035156,274.5,279.6000061035156,5293260
2025-09-11,283.54998779296875,285.1000061035156,278.75,279.75,5392960
2025-09-12,283.6499938964844,284.8999938964844,282.75,284.79998779296875,2539900
2025-09-15,284.25,284.29998779296875,281.04998779296875,282.75,2263051
2025-09-16,285.1499938964844,289.25,285.0,288.8500061035156,2748398
2025-09-17,287.70001220703125,288.0,284.6000061035156,285.1000061035156,2278359
2025-09-18,287.8500061035156,291.29998779296875,285.6000061035156,290.75,3080642
2025-09-19,292.5,292.6000061035156,288.95001220703125,290.8500061035156,2611943
2025-09-22,291.0,295.45001220703125,290.0,294.8999938964844,2141346
2025-09-23,298.8999938964844,304.3999938964844,297.5,302.45001220703125,4381449
2025-09-24,304.3500061035156,304.3999938964844,298.79998779296875,302.79998779296875,3474237
2025-09-25,300.3500061035156,303.3500061035156,299.1499938964844,300.25,1839421
2025-09-26,295.25,295.5,285.6499938964844,289.6499938964844,7740619
2025-09-30,294.1000061035156,297.6499938964844,294.0,296.79998779296875,5179820
2025-10-01,299.75,305.45001220703125,297.20001220703125,298.20001220703125,3723865
2025-10-02,307.6000061035156,308.54998779296875,305.79998779296875,306.70001220703125,3964598
2025-10-03,306.8500061035156,314.0,306.75,314.0,4163898
2025-10-07,321.29998779296875,328.3999938964844,321.1499938964844,327.79998779296875,3995493
2025-10-08,320.0,323.0,318.0,322.8500061035156,3273177
2025-10-09,329.8999938964844,330.0,326.75,327.79998779296875,3085612
2025-10-13,311.3999938964844,318.70001220703125,309.0,318.54998779296875,9248554
2025-10-14,328.8999938964844,330.04998779296875,314.6499938964844,315.6499938964844,6018971
2025-10-15,317.6000061035156,325.8999938964844,314.3999938964844,325.8999938964844,4158249
2025-10-16,330.29998779296875,337.70001220703125,329.0,337.70001220703125,5323625
2025-10-17,329.3500061035156,331.54998779296875,327.70001220703125,328.04998779296875,4134836
2025-10-20,332.5,338.1000061035156,330.20001220703125,337.6000061035156,3162066
2025-10-21,340.54998779296875,343.25,337.79998779296875,338.95001220703125,2485934
2025-10-22,332.70001220703125,337.6000061035156,331.54998779296875,336.8999938964844,2948342
2025-10-23,328.8999938964844,333.54998779296875,328.20001220703125,332.3999938964844,2960216
2025-10-27,347.20001220703125,348.70001220703125,344.3999938964844,347.75,4217954
2025-10-28,346.3500061035156,346.5,342.45001220703125,343.04998779296875,2999399
2025-10-29,349.3999938964844,353.45001220703125,348.29998779296875,352.5,2927802
2025-10-30,353.45001220703125,356.04998779296875,347.0,352.3500061035156,3219586
2025-10-31,353.5,356.70001220703125,352.0,355.1000061035156,2317618
2025-11-03,352.8999938964844,357.0,348.45001220703125,350.1499938964844,2873676
2025-11-04,354.3999938964844,356.70001220703125,345.70001220703125,346.1000061035156,3618418
2025-11-05,333.3500061035156,338.6499938964844,328.29998779296875,338.29998779296875,8656303
2025-11-06,341.8500061035156,345.54998779296875,340.0,344.75,3630453
2025-11-07,336.3500061035156,337.79998779296875,332.79998779296875,335.3999938964844,4512438
2025-11-10,338.70001220703125,343.29998779296875,335.79998779296875,343.0,2826757
2025-11-11,346.04998779296875,346.8500061035156,337.6499938964844,337.95001220703125,4129047
2025-11-12,340.8500061035156,343.95001220703125,339.0,343.70001220703125,1921632
2025-11-13,340.0,342.79998779296875,337.6499938964844,341.79998779296875,2118059
2025-11-14,328.79998779296875,332.45001220703125,326.8500061035156,327.8999938964844,7271712
2025-11-17,332.5,334.20001220703125,329.6000061035156,329.8999938964844,4124699
2025-11-18,322.25,325.1000061035156,313.54998779296875,314.8999938964844,8069990
2025-11-19,313.1000061035156,316.5,308.1000061035156,310.8500061035156,3960240
2025-11-20,326.1000061035156,329.8999938964844,323.0,329.75,5802822
2025-11-21,311.04998779296875,311.6499938964844,303.6000061035156,307.1499938964844,10824809
2025-11-24,310.04998779296875,311.04998779296875,307.1499938964844,308.1000061035156,4271849
2025-11-25,318.6000061035156,319.5,312.25,315.04998779296875,3643023
2025-11-26,322.04998779296875,326.45001220703125,322.04998779296875,325.5,3379181
2025-11-27,330.79998779296875,332.54998779296875,328.5,331.75,4262258
2025-11-28,331.45001220703125,337.6499938964844,331.1000061035156,336.6000061035156,2939740
2025-12-01,331.95001220703125,333.70001220703125,327.45001220703125,327.45001220703125,3617959
2025-12-02,333.6499938964844,335.95001220703125,329.8500061035156,330.3500061035156,2546628
2025-12-03,337.25,338.1499938964844,333.8500061035156,335.3999938964844,2454339
2025-12-04,336.6499938964844,338.0,333.45001220703125,335.8999938964844,3274555
2025-12-05,336.70001220703125,340.6499938964844,335.79998779296875,340.6499938964844,2605906
2025-12-08,342.8999938964844,348.5,342.3500061035156,347.8999938964844,3148067
2025-12-09,349.0,349.0,346.3999938964844,346.5,1885911
2025-12-10,348.25,351.6000061035156,347.3500061035156,350.8500061035156,3204222
2025-12-11,353.79998779296875,353.79998779296875,342.5,343.0,4467072
2025-12-12,347.79998779296875,349.1000061035156,345.1499938964844,347.8500061035156,2064926
